,nível,estado,Francisco Gross,Pacotuba,São João,data_hora
6,1.05,,873.3,93.5,37.4,2021-02-19 17:00:00
5,1.23,,,104.2,37.8,2021-02-19 18:00:00
4,1.33,,,115.5,39.1,2021-02-19 19:00:00
3,1.44,,,128.4,39.8,2021-02-19 20:00:00
2,1.55,,,144.4,39.5,2021-02-19 21:00:00
1,1.65,,,160.7,32.7,2021-02-19 22:00:00
0,1.75,,,172.4,20.5,2021-02-19 23:00:00
29,1.94,,873.3,185.5,62.7,2021-02-20 00:00:00
28,2.04,,773.1,196.2,58.9,2021-02-20 01:00:00
27,2.13,,698.6,204.2,55.5,2021-02-20 02:00:00
26,2.19,,674.6,213.4,52.2,2021-02-20 03:00:00
25,2.29,,643.2,219.7,49.3,2021-02-20 04:00:00
24,2.32,,578.9,222.8,46.6,2021-02-20 05:00:00
23,2.33,,546.1,226.0,44.8,2021-02-20 06:00:00
22,2.41,,542.5,226.0,43.3,2021-02-20 07:00:00
21,2.43,,521.3,220.7,42.5,2021-02-20 08:00:00
20,2.49,,510.8,211.3,41.5,2021-02-20 09:00:00
19,2.49,,500.4,201.2,41.0,2021-02-20 10:00:00
18,2.54,,450.0,189.4,40.5,2021-02-20 11:00:00
17,2.51,,450.0,178.0,39.8,2021-02-20 12:00:00
16,2.48,,453.3,165.1,38.6,2021-02-20 13:00:00
15,2.44,,440.2,155.5,38.6,2021-02-20 14:00:00
14,2.36,,411.5,146.9,37.4,2021-02-20 15:00:00
13,2.32,,414.6,138.7,50.6,2021-02-20 16:00:00
12,2.25,,443.5,133.1,64.7,2021-02-20 17:00:00
11,2.13,,542.5,128.4,97.0,2021-02-20 19:00:00
10,2.09,,510.8,131.5,101.5,2021-02-20 20:00:00
9,2.06,,539.0,138.7,91.2,2021-02-20 21:00:00
8,2.03,,546.1,151.2,82.7,2021-02-20 22:00:00
7,2.01,,616.4,164.2,76.6,2021-02-20 23:00:00
48,2.05,,674.6,177.0,70.7,2021-02-21 00:00:00
47,2.15,,662.8,186.5,64.7,2021-02-21 01:00:00
46,2.2,,647.1,193.3,59.8,2021-02-21 02:00:00
45,2.3,,620.2,198.2,56.4,2021-02-21 03:00:00
44,2.41,,564.2,202.2,53.9,2021-02-21 04:00:00
43,2.43,,497.0,205.2,52.8,2021-02-21 05:00:00
42,2.54,,440.2,200.2,53.9,2021-02-21 06:00:00
41,2.52,,405.2,199.2,56.9,2021-02-21 07:00:00
40,2.52,,374.6,199.2,60.1,2021-02-21 08:00:00
39,2.55,,339.4,196.2,62.4,2021-02-21 09:00:00
38,2.64,,336.6,189.4,63.0,2021-02-21 10:00:00
37,2.72,,345.2,130.7,55.5,2021-02-21 14:00:00
36,2.69,,339.4,119.2,52.2,2021-02-21 15:00:00
35,2.53,,330.9,110.5,48.7,2021-02-21 16:00:00
