id,Data,Hora,Vazao,Nivel,Chuva
0,2023-02-10,23:30:00,86.63,783.00,0.00
1,2023-02-10,23:00:00,86.63,783.00,0.00
2,2023-02-10,22:30:00,86.63,783.00,0.00
3,2023-02-10,22:00:00,86.63,783.00,0.00
4,2023-02-10,21:30:00,88.21,784.00,0.00
5,2023-02-10,21:00:00,88.21,784.00,0.00
6,2023-02-10,20:30:00,89.80,785.00,0.00
7,2023-02-10,20:00:00,92.99,787.00,0.00
8,2023-02-10,19:30:00,94.60,788.00,0.00
9,2023-02-10,19:00:00,97.83,790.00,0.00
10,2023-02-10,18:30:00,101.08,792.00,0.00
11,2023-02-10,18:00:00,101.08,792.00,0.00
12,2023-02-10,17:30:00,101.08,792.00,0.00
13,2023-02-10,17:00:00,101.08,792.00,0.00
14,2023-02-10,16:30:00,102.72,793.00,0.00
15,2023-02-10,16:00:00,101.08,792.00,0.00
16,2023-02-10,15:30:00,101.08,792.00,0.00
17,2023-02-10,15:00:00,101.08,792.00,0.00
18,2023-02-10,14:30:00,101.08,792.00,0.00
19,2023-02-10,14:00:00,101.08,792.00,0.00
20,2023-02-10,13:30:00,101.08,792.00,0.00
21,2023-02-10,13:00:00,104.37,794.00,0.00
22,2023-02-10,12:30:00,107.67,796.00,0.00
23,2023-02-10,12:00:00,111.00,798.00,0.00
24,2023-02-10,11:30:00,117.74,802.00,0.00
25,2023-02-10,11:00:00,122.85,805.00,0.00
26,2023-02-10,10:30:00,124.56,806.00,0.00
27,2023-02-10,10:00:00,126.28,807.00,0.00
28,2023-02-10,09:30:00,124.56,806.00,0.00
29,2023-02-10,09:00:00,122.85,805.00,0.00
30,2023-02-10,08:30:00,122.85,805.00,0.00
31,2023-02-10,08:00:00,128.01,808.00,0.00
32,2023-02-10,07:30:00,129.74,809.00,0.00
33,2023-02-10,07:00:00,128.01,808.00,0.00
34,2023-02-10,06:30:00,129.74,809.00,0.00
35,2023-02-10,06:00:00,129.74,809.00,0.00
36,2023-02-10,05:30:00,129.74,809.00,0.00
37,2023-02-10,05:00:00,129.74,809.00,0.00
38,2023-02-10,04:30:00,129.74,809.00,0.00
39,2023-02-10,04:00:00,129.74,809.00,0.00
40,2023-02-10,03:30:00,131.48,810.00,0.00
41,2023-02-10,03:00:00,142.01,816.00,0.00
42,2023-02-10,02:30:00,147.35,819.00,0.00
43,2023-02-10,02:00:00,149.14,820.00,0.00
44,2023-02-10,01:30:00,152.74,822.00,0.00
45,2023-02-10,01:00:00,158.17,825.00,0.00
46,2023-02-10,00:30:00,156.35,824.00,0.00
47,2023-02-10,00:00:00,158.17,825.00,0.00
48,2023-02-09,23:30:00,158.17,825.00,0.00
49,2023-02-09,23:00:00,158.17,825.00,0.00
50,2023-02-09,22:30:00,158.17,825.00,0.00
51,2023-02-09,22:00:00,163.64,828.00,0.00
52,2023-02-09,21:30:00,172.86,833.00,0.00
53,2023-02-09,21:00:00,178.45,836.00,0.00
54,2023-02-09,20:30:00,178.45,836.00,0.00
55,2023-02-09,20:00:00,180.32,837.00,0.00
56,2023-02-09,19:30:00,180.32,837.00,0.00
57,2023-02-09,19:00:00,176.58,835.00,0.00
58,2023-02-09,18:30:00,178.45,836.00,0.00
59,2023-02-09,18:00:00,176.58,835.00,0.00
60,2023-02-09,17:30:00,180.32,837.00,0.00
61,2023-02-09,17:00:00,178.45,836.00,0.00
62,2023-02-09,16:30:00,178.45,836.00,0.00
63,2023-02-09,16:00:00,172.86,833.00,0.00
64,2023-02-09,15:30:00,171.01,832.00,0.00
65,2023-02-09,15:00:00,171.01,832.00,0.00
66,2023-02-09,14:30:00,171.01,832.00,0.00
67,2023-02-09,14:00:00,171.01,832.00,0.00
68,2023-02-09,13:30:00,172.86,833.00,0.00
69,2023-02-09,13:00:00,171.01,832.00,0.00
70,2023-02-09,12:30:00,171.01,832.00,0.00
71,2023-02-09,12:00:00,171.01,832.00,0.00
72,2023-02-09,11:30:00,171.01,832.00,0.00
73,2023-02-09,11:00:00,165.47,829.00,0.00
74,2023-02-09,10:30:00,163.64,828.00,0.00
75,2023-02-09,10:00:00,163.64,828.00,0.00
76,2023-02-09,09:30:00,163.64,828.00,0.00
77,2023-02-09,09:00:00,150.94,821.00,0.00
78,2023-02-09,08:30:00,150.94,821.00,0.00
79,2023-02-09,08:00:00,149.14,820.00,0.00
80,2023-02-09,07:30:00,147.35,819.00,0.00
81,2023-02-09,07:00:00,143.79,817.00,0.00
82,2023-02-09,06:30:00,145.57,818.00,0.00
83,2023-02-09,06:00:00,145.57,818.00,0.00
84,2023-02-09,05:30:00,152.74,822.00,0.00
85,2023-02-09,05:00:00,158.17,825.00,0.00
86,2023-02-09,04:30:00,171.01,832.00,0.00
87,2023-02-09,04:00:00,185.97,840.00,0.00
88,2023-02-09,03:30:00,199.30,847.00,0.00
89,2023-02-09,03:00:00,184.08,839.00,0.00
90,2023-02-09,02:30:00,75.77,776.00,0.00
91,2023-02-09,02:00:00,75.77,776.00,0.00
92,2023-02-09,01:30:00,77.30,777.00,0.00
93,2023-02-09,01:00:00,77.30,777.00,0.00
94,2023-02-09,00:30:00,77.30,777.00,0.00
95,2023-02-09,00:00:00,77.30,777.00,0.00
96,2023-02-08,23:30:00,77.30,777.00,0.00
97,2023-02-08,23:00:00,77.30,777.00,0.00
98,2023-02-08,22:30:00,75.77,776.00,0.00
99,2023-02-08,22:00:00,75.77,776.00,0.00
100,2023-02-08,21:30:00,77.30,777.00,0.40
101,2023-02-08,21:00:00,72.73,774.00,0.00
102,2023-02-08,20:30:00,74.24,775.00,0.00
