,data,hora,nível,estado
1,2021-02-19,23:00:00,1.75,
2,2021-02-19,22:00:00,1.65,
3,2021-02-19,21:00:00,1.55,
4,2021-02-19,20:00:00,1.44,
5,2021-02-19,19:00:00,1.33,
6,2021-02-19,18:00:00,1.23,
7,2021-02-19,17:15:00,1.12,
8,2021-02-19,17:00:00,1.05,
9,2021-02-20,23:00:00,2.01,
0,2021-02-19,23:30:00,1.87,
10,2021-02-20,22:00:00,2.03,
11,2021-02-20,21:00:00,2.06,
12,2021-02-20,20:00:00,2.09,
13,2021-02-20,19:00:00,2.13,
14,2021-02-20,17:00:00,2.25,
15,2021-02-20,16:00:00,2.32,
16,2021-02-20,15:00:00,2.36,
17,2021-02-20,14:00:00,2.44,
18,2021-02-20,13:00:00,2.48,
19,2021-02-20,12:00:00,2.51,
20,2021-02-20,11:00:00,2.54,
21,2021-02-20,10:00:00,2.49,
22,2021-02-20,09:00:00,2.49,
23,2021-02-20,08:00:00,2.43,
24,2021-02-20,07:00:00,2.41,
25,2021-02-20,06:00:00,2.33,
26,2021-02-20,05:00:00,2.32,
27,2021-02-20,04:00:00,2.29,
28,2021-02-20,03:00:00,2.19,
29,2021-02-20,02:00:00,2.13,
30,2021-02-20,01:00:00,2.04,
31,2021-02-20,00:00:00,1.94,
32,2021-02-21,23:00:00,1.93,
33,2021-02-21,22:00:00,1.95,
34,2021-02-21,21:00:00,2.05,
35,2021-02-21,20:00:00,2.12,
36,2021-02-21,19:00:00,2.23,
37,2021-02-21,18:30:00,2.34,
38,2021-02-21,17:30:00,2.46,
39,2021-02-21,16:00:00,2.53,
40,2021-02-21,15:30:00,2.65,
41,2021-02-21,15:00:00,2.69,
42,2021-02-21,14:00:00,2.72,
43,2021-02-21,13:40:00,2.98,
44,2021-02-21,12:30:00,2.73,
45,2021-02-21,11:30:00,2.67,
46,2021-02-21,10:00:00,2.64,
47,2021-02-21,09:00:00,2.55,
48,2021-02-21,08:00:00,2.52,
49,2021-02-21,07:00:00,2.52,
50,2021-02-21,06:00:00,2.54,
51,2021-02-21,05:00:00,2.43,
52,2021-02-21,04:00:00,2.41,
53,2021-02-21,03:00:00,2.3,
54,2021-02-21,02:00:00,2.2,
55,2021-02-21,01:00:00,2.15,
56,2021-02-21,00:00:00,2.05,
57,2021-02-22,23:30:00,0.98,
58,2021-02-22,22:30:00,0.98,
59,2021-02-22,21:30:00,1.0,
60,2021-02-22,20:30:00,0.99,
61,2021-02-22,19:30:00,1.01,
62,2021-02-22,18:30:00,1.05,
63,2021-02-22,17:30:00,1.08,
64,2021-02-22,16:30:00,1.11,
65,2021-02-22,15:00:00,1.14,
66,2021-02-22,14:00:00,1.2,
